,Название,Код,Срок(месяца),Цена,Рейтинг,Величина купона(-13%),Номинал,Выплат в год,Доходность(год),Доходность(все время),Доходность(% в год),Ссылка
0,Ferroni выпуск 1,RU000A103XP8,24,745.9,Низкий,9.22,1000.0,12.0,110.64,221.28,11.06,https://www.tinkoff.ru/invest/bonds/RU000A103XP8/
1,Феррони БО-01,RU000A1053R3,22,906.6,Низкий,11.74,1000.0,12.0,140.88,258.28,14.09,https://www.tinkoff.ru/invest/bonds/RU000A1053R3/
2,Роснано выпуск 8,RU000A1008V9,53,865.0,Средний,51.33,1000.0,2.0,102.66,16322.94,10.27,https://www.tinkoff.ru/invest/bonds/RU000A1008V9/
3,ХК Финанс выпуск 8,RU000A104XU6,6,997.2,10.04.2024,21.14,1000.0,4.0,84.56,380.52,8.46,https://www.tinkoff.ru/invest/bonds/RU000A104XU6/
4,СПМК БО-02,RU000A106FN3,5,964.5,Низкий,30.88,1000.0,4.0,123.52,463.2,12.35,https://www.tinkoff.ru/invest/bonds/RU000A106FN3/
5,ТрансКомплектХолдинг выпуск 1,RU000A0ZYCR1,8,998.5,10.10.2023,40.72,1000.0,2.0,81.44,1954.56,8.14,https://www.tinkoff.ru/invest/bonds/RU000A0ZYCR1/
6,Агрофирма-племзавод Победа выпуск 1,RU000A102S23,4,949.9,Низкий,21.14,1000.0,4.0,84.56,253.68,8.46,https://www.tinkoff.ru/invest/bonds/RU000A102S23/
7,Феррони БО-02,RU000A105P64,2,922.0,Низкий,11.74,1000.0,12.0,140.88,23.48,14.09,https://www.tinkoff.ru/invest/bonds/RU000A105P64/
8,Alfa Bank,RU000A100GW5,11,8800000.0,Средний,254862.15,10000000.0,4.0,1019448.6,8410450.95,10.19,https://www.tinkoff.ru/invest/bonds/RU000A100GW5/
9,МФК Эйрлоанс выпуск 1,RU000A1043L7,19,922.3,Низкий,9.4,1000.0,12.0,112.8,178.6,11.28,https://www.tinkoff.ru/invest/bonds/RU000A1043L7/
10,Газпром Капитал БЗО26-1-Е,RU000A105QX1,27,71956.26225,Средний,3497.57,103163.1,1.0,3497.57,1133212.68,3.39,https://www.tinkoff.ru/invest/bonds/RU000A105QX1/
11,М.Видео выпуск 4,RU000A106540,18,909.0,23.04.2025,28.27,1000.0,4.0,113.08,1526.58,11.31,https://www.tinkoff.ru/invest/bonds/RU000A106540/
12,Киви выпуск 1,RU000A1028C7,8,997.4,Средний,18.18,1000.0,4.0,72.72,436.32,7.27,https://www.tinkoff.ru/invest/bonds/RU000A1028C7/
13,М.Видео выпуск 3,RU000A104ZK2,21,887.9,Низкий,26.71,1000.0,4.0,106.84,1682.73,10.68,https://www.tinkoff.ru/invest/bonds/RU000A104ZK2/
14,ВИС Финанс выпуск 1,RU000A102952,18,995.4,20.10.2023,19.49,1000.0,4.0,77.96,1052.46,7.8,https://www.tinkoff.ru/invest/bonds/RU000A102952/
15,М.Видео выпуск 2,RU000A103HT3,10,916.5,Низкий,17.49,1000.0,4.0,69.96,524.7,7.0,https://www.tinkoff.ru/invest/bonds/RU000A103HT3/
