,Название,Код,Цена,Рейтинг,Срок(месяца),Величина купона(-13%),Номинал,Выплат в год,Доходность(год),Доходность(все время),Доходность(% в год),Ссылка
0,Ferroni выпуск 1,RU000A103XP8,836.9,Низкий,21.0,9.22,1000.0,12.0,110.64,9.22,13.22,https://www.tinkoff.ru/invest/bonds/RU000A103XP8/
1,Роснано выпуск 8,RU000A1008V9,861.1,Средний,51.0,58.2,1000.0,2.0,116.4,1455.0,13.52,https://www.tinkoff.ru/invest/bonds/RU000A1008V9/
2,Руссойл БО-01,RU000A1074E7,973.5,Низкий,33.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A1074E7/
3,СПМК БО-02,RU000A106FN3,942.6,Низкий,41.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A106FN3/
4,ВТБ СУБ выпуск 1,RU000A102QJ7,7587442.5,Средний,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A102QJ7/
5,М.Видео выпуск 4,RU000A106540,833.2,Низкий,27.0,28.27,1000.0,4.0,113.08,169.62,13.57,https://www.tinkoff.ru/invest/bonds/RU000A106540/
6,ВТБ СУБ выпуск 5,RU000A1034P7,6330000.0,Средний,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A1034P7/
7,Alfa Bank,RU000A100GW5,7900000.0,Средний,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A100GW5/
8,М.Видео выпуск 3,RU000A104ZK2,816.9,Низкий,18.0,26.71,1000.0,4.0,106.84,106.84,13.08,https://www.tinkoff.ru/invest/bonds/RU000A104ZK2/
9,Сегежа Групп 003P-02R,RU000A105SP3,826.5,Средний,168.0,22.97,1000.0,4.0,91.88,964.74,11.12,https://www.tinkoff.ru/invest/bonds/RU000A105SP3/
10,Сегежа 002P выпуск 1,RU000A1041B2,876.0,Средний,154.0,42.72,1000.0,2.0,85.44,3289.44,9.75,https://www.tinkoff.ru/invest/bonds/RU000A1041B2/
11,Сегежа 002P выпуск 5,RU000A1053P7,757.0,Средний,163.0,46.11,1000.0,2.0,92.22,3734.91,12.18,https://www.tinkoff.ru/invest/bonds/RU000A1053P7/
12,Нафтатранс Плюс выпуск 2,RU000A100YD8,3979.4132,Низкий,8.0,42.8,3997.0,12.0,513.6,0.0,12.91,https://www.tinkoff.ru/invest/bonds/RU000A100YD8/
13,РКК выпуск 3,RU000A106GZ5,871.7,Средний,54.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A106GZ5/
14,Боржоми выпуск 1,RU000A102SK1,976.3,Средний,25.0,32.19,1000.0,2.0,64.38,386.28,6.59,https://www.tinkoff.ru/invest/bonds/RU000A102SK1/
15,МФК Эйрлоанс выпуск 1,RU000A1043L7,921.0,Низкий,16.0,9.4,1000.0,12.0,112.8,9.4,12.25,https://www.tinkoff.ru/invest/bonds/RU000A1043L7/
16,М.Видео выпуск 1,RU000A103117,964.5,Низкий,3.0,47.68,1000.0,2.0,95.36,47.68,9.89,https://www.tinkoff.ru/invest/bonds/RU000A103117/
17,МФК ЦФП выпуск 2,RU000A103GL2,952.9,Низкий,6.0,9.22,1000.0,12.0,110.64,0.0,11.61,https://www.tinkoff.ru/invest/bonds/RU000A103GL2/
18,М.Видео выпуск 2,RU000A103HT3,920.0,Низкий,7.0,17.49,1000.0,4.0,69.96,17.49,7.6,https://www.tinkoff.ru/invest/bonds/RU000A103HT3/
19,РКК выпуск 1,RU000A105VP7,959.1,Низкий,25.0,41.15,1000.0,4.0,164.6,246.9,17.16,https://www.tinkoff.ru/invest/bonds/RU000A105VP7/
20,Эфферон выпуск 1,RU000A105H98,870.3,Низкий,46.0,29.23,1000.0,4.0,116.92,321.53,13.43,https://www.tinkoff.ru/invest/bonds/RU000A105H98/
21,НИКА обб01,RU000A1050X7,948.8,Низкий,19.0,32.19,1000.0,4.0,128.76,128.76,13.57,https://www.tinkoff.ru/invest/bonds/RU000A1050X7/
22,АПРИ Флай Плэнинг БО-П05,RU000A104WA0,985.0,Низкий,17.0,38.98,1000.0,4.0,155.92,155.92,15.83,https://www.tinkoff.ru/invest/bonds/RU000A104WA0/
23,АПРИ Флай Плэнинг выпуск 3,RU000A106WZ2,998.0,Низкий,44.0,45.5,1000.0,4.0,182.0,500.5,18.24,https://www.tinkoff.ru/invest/bonds/RU000A106WZ2/
24,АПРИ Флай Плэнинг БО-2Р-02,RU000A106631,964.8,Низкий,39.0,38.98,1000.0,4.0,155.92,350.82,16.16,https://www.tinkoff.ru/invest/bonds/RU000A106631/
25,АПРИ Флай Плэнинг БО-П5,RU000A103N19,912.0,Низкий,20.0,28.19,1000.0,4.0,112.76,140.95,12.36,https://www.tinkoff.ru/invest/bonds/RU000A103N19/
26,РКК выпуск 2,RU000A105ZW4,939.9,Средний,38.0,38.98,1000.0,4.0,155.92,350.82,16.59,https://www.tinkoff.ru/invest/bonds/RU000A105ZW4/
27,Сегежа 002P выпуск 3,RU000A104FG2,992.6,Средний,156.0,23.58,1000.0,4.0,94.32,919.62,9.5,https://www.tinkoff.ru/invest/bonds/RU000A104FG2/
28,АПРИ Флай Плэнинг,RU000A105DS9,1002.3,Средний,34.0,45.5,1000.0,4.0,182.0,364.0,18.16,https://www.tinkoff.ru/invest/bonds/RU000A105DS9/
29,Транс-Миссия БО-02,RU000A107FG5,1000.0,Средний,47.0,14.44,1000.0,12.0,173.28,43.32,17.33,https://www.tinkoff.ru/invest/bonds/RU000A107FG5/
30,Кировский завод выпуск 2,RU000A102UZ5,977.4,Средний,26.0,20.53,1000.0,4.0,82.12,123.18,8.4,https://www.tinkoff.ru/invest/bonds/RU000A102UZ5/
31,МФК Мани Мен выпуск 3,RU000A103PS8,949.0,Средний,8.0,8.7,1000.0,12.0,104.4,0.0,11.0,https://www.tinkoff.ru/invest/bonds/RU000A103PS8/
32,Пионер-Лизинг-БО-П02,RU000A1006C3,1070.3,Низкий,60.0,15.14,1000.0,12.0,181.68,75.7,16.97,https://www.tinkoff.ru/invest/bonds/RU000A1006C3/
33,Литана выпуск 1,RU000A1032S5,976.3,Низкий,4.0,28.19,1000.0,4.0,112.76,28.19,11.55,https://www.tinkoff.ru/invest/bonds/RU000A1032S5/
34,Фордевинд2,RU000A106DK4,930.0,Низкий,29.0,11.4,1000.0,12.0,136.8,22.8,14.71,https://www.tinkoff.ru/invest/bonds/RU000A106DK4/
35,Феррони БО-02,RU000A105P64,967.3,Низкий,23.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A105P64/
36,Роснано БО-002P выпуск 4,RU000A101KK0,968.9,Низкий,2.0,14.79,1000.0,4.0,59.16,0.0,6.11,https://www.tinkoff.ru/invest/bonds/RU000A101KK0/
37,МигКредит БО-03,RU000A106UK8,982.5,Низкий,31.0,11.92,1000.0,12.0,143.04,23.84,14.56,https://www.tinkoff.ru/invest/bonds/RU000A106UK8/
38,Фордевинд 03,RU000A106Q47,925.0,Низкий,36.0,11.4,1000.0,12.0,136.8,34.2,14.79,https://www.tinkoff.ru/invest/bonds/RU000A106Q47/
39,AzurDrive выпуск 1,RU000A106TJ2,931.1,Низкий,43.0,11.4,1000.0,12.0,136.8,34.2,14.69,https://www.tinkoff.ru/invest/bonds/RU000A106TJ2/
40,Агрофирма-племзавод Победа выпуск 1,RU000A102S23,986.9,Низкий,1.0,21.14,1000.0,4.0,84.56,0.0,8.57,https://www.tinkoff.ru/invest/bonds/RU000A102S23/
41,МФК ВЭББАНКИР выпуск 1,RU000A103F43,965.9,Низкий,12.0,9.05,1000.0,12.0,108.6,9.05,11.24,https://www.tinkoff.ru/invest/bonds/RU000A103F43/
42,Пионер-Лизинг-БО-П04,RU000A102LF6,999.8,Низкий,83.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A102LF6/
43,Фордевинд 04,RU000A106SE5,951.9,Низкий,37.0,12.09,1000.0,12.0,145.08,36.27,15.24,https://www.tinkoff.ru/invest/bonds/RU000A106SE5/
44,МФК Лайм-Займ 1Р-02,RU000A106CJ8,864.0,Низкий,28.0,10.61,900.0,12.0,127.32,21.22,14.74,https://www.tinkoff.ru/invest/bonds/RU000A106CJ8/
45,ДиректЛизинг БО 002Р-02,RU000A1078X8,983.20167,Низкий,58.0,13.31,983.3,12.0,159.72,53.24,16.24,https://www.tinkoff.ru/invest/bonds/RU000A1078X8/
46,АСПЭК-Домстрой выпуск 1,RU000A104B53,972.8,Низкий,11.0,31.41,1000.0,4.0,125.64,62.82,12.92,https://www.tinkoff.ru/invest/bonds/RU000A104B53/
47,Быстроденьги выпуск 2,RU000A102ZT7,984.5,Низкий,3.0,9.05,1000.0,12.0,108.6,0.0,11.03,https://www.tinkoff.ru/invest/bonds/RU000A102ZT7/
48,Славянск ЭКО выпуск 1,RU000A103WB0,939.0,Средний,33.0,23.84,1000.0,4.0,95.36,190.72,10.16,https://www.tinkoff.ru/invest/bonds/RU000A103WB0/
