,Название,Код,Цена,Рейтинг,Срок(месяца),Дата купона,Величина купона(-13%),Номинал,Выплат в год,Доходность(год),Доходность(все время),Доходность(% в год),Ссылка,НКД
0,Ferroni выпуск 1,RU000A103XP8,873.3,Низкий,20.0,2024-01-16,9.22,1000.0,12.0,110.64,9.22,12.67,https://www.tinkoff.ru/invest/bonds/RU000A103XP8/,0.0
1,Роснано выпуск 8,RU000A1008V9,863.8,Средний,50.0,2024-04-01,58.2,1000.0,2.0,116.4,1455.0,13.48,https://www.tinkoff.ru/invest/bonds/RU000A1008V9/,39.0
2,Газпром капитал ЗО24-2-Е,RU000A105GZ7,95773.6370647,Высокий,0.0,2024-01-24,2482.28,96751.7,1.0,2482.28,0.0,2.59,https://www.tinkoff.ru/invest/bonds/RU000A105GZ7/,2790.0
3,Руссойл БО-01,RU000A1074E7,995.0,Низкий,33.0,0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A1074E7/,0.0
4,Сегежа 002P выпуск 3,RU000A104FG2,992.5,Средний,155.0,2024-01-24,23.58,1000.0,4.0,94.32,896.04,9.5,https://www.tinkoff.ru/invest/bonds/RU000A104FG2/,24.0
5,СПМК БО-02,RU000A106FN3,959.4,Низкий,40.0,0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A106FN3/,0.0
6,ВТБ СУБ выпуск 1,RU000A102QJ7,7270923.0,Средний,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A102QJ7/,0.0
7,Alfa Bank,RU000A100GW5,8200000.0,Средний,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A100GW5/,0.0
8,ВТБ СУБ выпуск 5,RU000A1034P7,6105000.0,Средний,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A1034P7/,0.0
9,Сегежа Групп 003P-02R,RU000A105SP3,834.7,Средний,167.0,2024-02-02,22.97,1000.0,4.0,91.88,941.77,11.01,https://www.tinkoff.ru/invest/bonds/RU000A105SP3/,21.0
10,М.Видео выпуск 4,RU000A106540,865.9,Низкий,27.0,2024-01-19,28.27,1000.0,4.0,113.08,169.62,13.06,https://www.tinkoff.ru/invest/bonds/RU000A106540/,31.0
