,Название,Код,Цена,Рейтинг,Срок(месяца),Дата купона,Величина купона(-13%),Номинал,Выплат в год,Доходность(год),Доходность(все время),Доходность(% в год),Ссылка
0,Ferroni выпуск 1,RU000A103XP8,871.0,Низкий,20.0,2024-01-16,9.22,1000.0,12.0,110.64,9.22,12.7,https://www.tinkoff.ru/invest/bonds/RU000A103XP8/
1,Роснано выпуск 8,RU000A1008V9,861.9,Средний,50.0,2024-04-01,58.2,1000.0,2.0,116.4,1455.0,13.51,https://www.tinkoff.ru/invest/bonds/RU000A1008V9/
2,Газпром капитал ЗО24-2-Е,RU000A105GZ7,95784.0862483,Высокий,0.0,2024-01-24,2482.28,96751.7,1.0,2482.28,0.0,2.59,https://www.tinkoff.ru/invest/bonds/RU000A105GZ7/
3,Руссойл БО-01,RU000A1074E7,995.3,Низкий,33.0,0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A1074E7/
4,Сегежа 002P выпуск 3,RU000A104FG2,993.9,Средний,155.0,2024-01-24,23.58,1000.0,4.0,94.32,896.04,9.49,https://www.tinkoff.ru/invest/bonds/RU000A104FG2/
5,СПМК БО-02,RU000A106FN3,956.0,Низкий,40.0,0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A106FN3/
6,ВТБ СУБ выпуск 1,RU000A102QJ7,7270923.0,Средний,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A102QJ7/
7,Alfa Bank,RU000A100GW5,8200000.0,Средний,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A100GW5/
8,ВТБ СУБ выпуск 5,RU000A1034P7,6105000.0,Средний,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A1034P7/
9,М.Видео выпуск 4,RU000A106540,859.8,Низкий,27.0,2024-01-19,28.27,1000.0,4.0,113.08,169.62,13.15,https://www.tinkoff.ru/invest/bonds/RU000A106540/
10,М.Видео выпуск 3,RU000A104ZK2,830.9,Низкий,18.0,2024-01-23,26.71,1000.0,4.0,106.84,106.84,12.86,https://www.tinkoff.ru/invest/bonds/RU000A104ZK2/
11,Сегежа Групп 003P-02R,RU000A105SP3,835.0,Средний,167.0,2024-02-02,22.97,1000.0,4.0,91.88,941.77,11.0,https://www.tinkoff.ru/invest/bonds/RU000A105SP3/
12,Сегежа 002P выпуск 5,RU000A1053P7,767.3,Средний,162.0,2024-02-15,46.11,1000.0,2.0,92.22,3734.91,12.02,https://www.tinkoff.ru/invest/bonds/RU000A1053P7/
13,Сегежа 002P выпуск 1,RU000A1041B2,899.9,Средний,153.0,2024-05-15,42.72,1000.0,2.0,85.44,3246.72,9.49,https://www.tinkoff.ru/invest/bonds/RU000A1041B2/
14,Боржоми выпуск 1,RU000A102SK1,984.0,Средний,25.0,2024-02-23,32.19,1000.0,2.0,64.38,386.28,6.54,https://www.tinkoff.ru/invest/bonds/RU000A102SK1/
15,Агрофирма-племзавод Победа выпуск 1,RU000A102S23,988.0,Низкий,0.0,2024-02-15,21.14,1000.0,4.0,84.56,0.0,8.56,https://www.tinkoff.ru/invest/bonds/RU000A102S23/
16,Литана выпуск 1,RU000A1032S5,974.9,Низкий,3.0,2024-01-31,28.19,1000.0,4.0,112.76,0.0,11.57,https://www.tinkoff.ru/invest/bonds/RU000A1032S5/
17,М.Видео выпуск 2,RU000A103HT3,928.9,Низкий,6.0,2024-02-07,17.49,1000.0,4.0,69.96,17.49,7.53,https://www.tinkoff.ru/invest/bonds/RU000A103HT3/
18,МФК ЦФП выпуск 1,RU000A102T55,993.7,Низкий,0.0,2024-01-16,9.57,1000.0,12.0,114.84,0.0,11.56,https://www.tinkoff.ru/invest/bonds/RU000A102T55/
19,М.Видео выпуск 1,RU000A103117,971.5,Низкий,3.0,2024-04-18,47.68,1000.0,2.0,95.36,47.68,9.82,https://www.tinkoff.ru/invest/bonds/RU000A103117/
20,МФК Эйрлоанс выпуск 1,RU000A1043L7,931.3,Низкий,15.0,2024-02-11,9.4,1000.0,12.0,112.8,9.4,12.11,https://www.tinkoff.ru/invest/bonds/RU000A1043L7/
21,МФК ЦФП выпуск 2,RU000A103GL2,964.4,Низкий,6.0,2024-01-20,9.22,1000.0,12.0,110.64,0.0,11.47,https://www.tinkoff.ru/invest/bonds/RU000A103GL2/
22,Пионер-Лизинг-БО-П03,RU000A1013N6,1062.7,Низкий,68.0,2024-02-03,14.96,1000.0,12.0,179.52,74.8,16.89,https://www.tinkoff.ru/invest/bonds/RU000A1013N6/
