,Название,Код,Цена,Рейтинг,Срок(месяца),Дата купона,НКД,Величина купона(-13%),Номинал,Выплат в год,Доходность(год),Осталось выплат,Доходность(% в год),Доходность(все время),Ссылка,Статус квал. инвестора
0,Ferroni выпуск 1,RU000A103XP8,857.2,Низкий,18.0,2024-04-15,6.0,9.22,1000.0,12.0,110.64,18.0,12.91,166.0,https://www.tinkoff.ru/invest/bonds/RU000A103XP8/,Не важен / Неизвестно
1,Роснано выпуск 8,RU000A1008V9,864.0,Средний,47.0,2024-09-30,0.0,62.81,1000.0,2.0,125.62,8.0,14.54,502.0,https://www.tinkoff.ru/invest/bonds/RU000A1008V9/,Не важен / Неизвестно
2,Alfa Bank,RU000A100GW5,8500000.0,Средний,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A100GW5/,Не важен / Неизвестно
3,Россети Центр 001Р-03,RU000A107AG6,999.4,Средний,37.0,2024-04-03,13.0,12.01,1000.0,12.0,144.12,37.0,14.42,444.0,https://www.tinkoff.ru/invest/bonds/RU000A107AG6/,Не важен / Неизвестно
4,ВТБ СУБ выпуск 5,RU000A1034P7,6415000.0,Средний,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A1034P7/,Не важен / Неизвестно
5,Банк ВТБ (ПАО) СУБ-Т1-2,RU000A102QL3,6345068.4487125,Средний,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A102QL3/,Не важен / Неизвестно
6,ВТБ СУБ выпуск 1,RU000A102QJ7,8312940.0,Высокий,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A102QJ7/,Не важен / Неизвестно
7,Сегежа Групп 003P-02R,RU000A105SP3,849.7,Средний,165.0,2024-05-03,17.0,22.97,1000.0,4.0,91.88,55.0,10.81,1263.0,https://www.tinkoff.ru/invest/bonds/RU000A105SP3/,Не важен / Неизвестно
8,Сегежа 002P выпуск 5,RU000A1053P7,780.1,Средний,159.0,2024-08-15,13.0,46.11,1000.0,2.0,92.22,26.0,11.82,1199.0,https://www.tinkoff.ru/invest/bonds/RU000A1053P7/,Не важен / Неизвестно
9,ВТБ СУБ выпуск 12,RU000A103SC6,8874000.0,Средний,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A103SC6/,Не важен / Неизвестно
10,ЕнисейАгроСоюз 001Р-01,RU000A107R29,997.5,Средний,57.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A107R29/,Не важен / Неизвестно
11,Пионер-Лизинг,RU000A104V00,1000.2,Низкий,96.0,2024-04-27,3.0,15.57,1000.0,12.0,186.84,96.0,18.68,1495.0,https://www.tinkoff.ru/invest/bonds/RU000A104V00/,Не важен / Неизвестно
12,Племзавод Пушкинское 001P-03,RU000A1080Y2,993.7,Средний,59.0,2024-06-13,9.0,38.98,1000.0,4.0,155.92,20.0,15.69,780.0,https://www.tinkoff.ru/invest/bonds/RU000A1080Y2/,Не важен / Неизвестно
13,МФК ВЭББАНКИР 06,RU000A1082K7,1001.5,Средний,41.0,2024-04-20,6.0,14.96,1000.0,12.0,179.52,41.0,17.93,613.0,https://www.tinkoff.ru/invest/bonds/RU000A1082K7/,Не важен / Неизвестно
14,Эфферон выпуск 1,RU000A105H98,896.4,Низкий,43.0,2024-05-23,14.0,29.23,1000.0,4.0,116.92,14.0,13.04,409.0,https://www.tinkoff.ru/invest/bonds/RU000A105H98/,Не важен / Неизвестно
15,АПРИ Флай Плэнинг БО-П5,RU000A103N19,926.0,Низкий,17.0,2024-06-04,10.0,28.19,1000.0,4.0,112.76,6.0,12.18,169.0,https://www.tinkoff.ru/invest/bonds/RU000A103N19/,Не важен / Неизвестно
16,М.Видео выпуск 4,RU000A106540,927.3,Средний,24.0,2024-04-19,26.0,28.27,1000.0,4.0,113.08,8.0,12.19,226.0,https://www.tinkoff.ru/invest/bonds/RU000A106540/,Не важен / Неизвестно
17,Славянск ЭКО выпуск 1,RU000A103WB0,949.9,Средний,30.0,2024-04-16,23.0,23.84,1000.0,4.0,95.36,10.0,10.04,238.0,https://www.tinkoff.ru/invest/bonds/RU000A103WB0/,Не важен / Неизвестно
18,МигКредит БО-03,RU000A106UK8,985.3,Низкий,28.0,2024-04-04,12.0,11.92,1000.0,12.0,143.04,28.0,14.52,334.0,https://www.tinkoff.ru/invest/bonds/RU000A106UK8/,Не важен / Неизвестно
19,Газпром Капитал БЗО26-1-Е,RU000A105QX1,74149.7755,Высокий,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A105QX1/,Не важен / Неизвестно
20,МФК Эйрлоанс выпуск 1,RU000A1043L7,954.5,Средний,13.0,2024-04-11,7.0,9.4,1000.0,12.0,112.8,13.0,11.82,122.0,https://www.tinkoff.ru/invest/bonds/RU000A1043L7/,Не важен / Неизвестно
