,Название,Код,Цена,Рейтинг,Срок(месяца),Дата купона,НКД,Величина купона(-13%),Номинал,Выплат в год,Доходность(год),Доходность(все время),Доходность(% в год),Ссылка,Статус квалифицированного инвестора
0,Роснано выпуск 8,RU000A1008V9,857.2,Средний,48.0,2024-04-01,64.0,58.2,1000.0,2.0,116.4,1396.8,13.58,https://www.tinkoff.ru/invest/bonds/RU000A1008V9/,
1,Ferroni выпуск 1,RU000A103XP8,840.5,Низкий,18.0,2024-04-15,3.0,9.22,1000.0,12.0,110.64,9.22,13.16,https://www.tinkoff.ru/invest/bonds/RU000A103XP8/,
2,Роснано БО-002P выпуск 4,RU000A101KK0,993.9,Низкий,0.0,2024-03-26,16.0,14.79,1000.0,4.0,59.16,0.0,5.95,https://www.tinkoff.ru/invest/bonds/RU000A101KK0/,
3,МФК Быстроденьги выпуск 2,RU000A102ZT7,997.4,Низкий,0.0,2024-03-28,9.0,9.05,1000.0,12.0,108.6,0.0,10.89,https://www.tinkoff.ru/invest/bonds/RU000A102ZT7/,
4,Alfa Bank,RU000A100GW5,8500000.0,Средний,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A100GW5/,
5,ВТБ СУБ выпуск 5,RU000A1034P7,6500000.0,Средний,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A1034P7/,
6,ВТБ СУБ выпуск 1,RU000A102QJ7,8335062.0,Высокий,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A102QJ7/,
7,Сегежа Групп 003P-02R,RU000A105SP3,865.0,Средний,165.0,2024-05-03,15.0,22.97,1000.0,4.0,91.88,941.77,10.62,https://www.tinkoff.ru/invest/bonds/RU000A105SP3/,
8,Сегежа 002P выпуск 5,RU000A1053P7,790.8,Средний,160.0,2024-08-15,11.0,46.11,1000.0,2.0,92.22,3688.8,11.66,https://www.tinkoff.ru/invest/bonds/RU000A1053P7/,
9,ВТБ СУБ выпуск 12,RU000A103SC6,8450000.0,Средний,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A103SC6/,
10,ЕнисейАгроСоюз 001Р-01,RU000A107R29,997.0,Средний,58.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A107R29/,
11,Пионер-Лизинг,RU000A104V00,1000.1,Низкий,96.0,2024-03-28,15.0,14.79,1000.0,12.0,177.48,118.32,17.75,https://www.tinkoff.ru/invest/bonds/RU000A104V00/,
12,Сегежа 002P выпуск 1,RU000A1041B2,926.4,Средний,151.0,2024-05-15,35.0,42.72,1000.0,2.0,85.44,3204.0,9.22,https://www.tinkoff.ru/invest/bonds/RU000A1041B2/,
13,ХК Финанс выпуск 8,RU000A104XU6,997.3,Средний,15.0,2024-04-05,28.0,28.19,1000.0,4.0,112.76,84.57,11.31,https://www.tinkoff.ru/invest/bonds/RU000A104XU6/,
14,Славянск ЭКО выпуск 1,RU000A103WB0,945.0,Средний,30.0,2024-04-16,20.0,23.84,1000.0,4.0,95.36,166.88,10.09,https://www.tinkoff.ru/invest/bonds/RU000A103WB0/,
15,АПРИ Флай Плэнинг БО-П5,RU000A103N19,921.4,Низкий,17.0,2024-06-04,7.0,28.19,1000.0,4.0,112.76,112.76,12.24,https://www.tinkoff.ru/invest/bonds/RU000A103N19/,
16,МигКредит БО-03,RU000A106UK8,979.4,Низкий,28.0,2024-04-04,9.0,11.92,1000.0,12.0,143.04,23.84,14.6,https://www.tinkoff.ru/invest/bonds/RU000A106UK8/,
17,М.Видео выпуск 4,RU000A106540,922.7,Средний,24.0,2024-04-19,23.0,28.27,1000.0,4.0,113.08,169.62,12.26,https://www.tinkoff.ru/invest/bonds/RU000A106540/,
18,Онлайн Микрофинанс выпуск 1,RU000A103406,991.0,Низкий,1.0,2024-04-04,6.0,8.87,1000.0,12.0,106.44,0.0,10.74,https://www.tinkoff.ru/invest/bonds/RU000A103406/,
19,МФК Эйрлоанс выпуск 1,RU000A1043L7,948.0,Средний,13.0,2024-04-11,4.0,9.4,1000.0,12.0,112.8,9.4,11.9,https://www.tinkoff.ru/invest/bonds/RU000A1043L7/,
20,Солид-Лизинг БО-02,RU000A107W71,1000.0,Высокий,41.0,2024-05-31,13.0,45.5,1000.0,4.0,182.0,455.0,18.2,https://www.tinkoff.ru/invest/bonds/RU000A107W71/,
21,Эфферон выпуск 1,RU000A105H98,900.0,Низкий,43.0,2024-05-23,11.0,29.23,1000.0,4.0,116.92,292.3,12.99,https://www.tinkoff.ru/invest/bonds/RU000A105H98/,
